price,date,ticker
107.5905219,2016/11/28,A
106.3933117,2016/11/29,A
107.0031857,2016/11/30,A
107.3673404,2016/12/1,A
106.426098,2016/12/2,A
106.3298984,2016/12/5,A
105.7805054,2016/12/6,A
105.0660461,2016/12/7,A
105.9834432,2016/12/8,A
105.832979,2016/12/9,A
104.579787,2016/12/12,A
103.9747101,2016/12/13,A
104.5455184,2016/12/14,A
104.3255868,2016/12/15,A
104.6183485,2016/12/16,A
104.8609352,2016/12/19,A
105.0870745,2016/12/20,A
104.9144508,2016/12/21,A
105.6362119,2016/12/22,A
105.9792895,2016/12/23,A
105.5895942,2016/12/27,A
106.2533164,2016/12/28,A
105.9895252,2016/12/29,A
104.8478984,2016/12/30,A
105.2463322,2017/1/3,A
105.4934032,2017/1/4,A
106.2019978,2017/1/5,A
105.4435053,2017/1/6,A
105.4937349,2017/1/9,A
104.574968,2017/1/10,A
105.0818507,2017/1/11,A
105.8043288,2017/1/12,A
106.3474625,2017/1/13,A
106.5586424,2017/1/17,A
105.5435922,2017/1/18,A
105.3125633,2017/1/19,A
105.3927908,2017/1/20,A
105.6721852,2017/1/23,A
105.5602448,2017/1/24,A
105.4498528,2017/1/25,A
106.3112857,2017/1/26,A
106.0524503,2017/1/27,A
106.8811615,2017/1/30,A
105.9331029,2017/1/31,A
106.0541795,2017/2/1,A
106.2270756,2017/2/2,A
106.800707,2017/2/3,A
107.376034,2017/2/6,A
106.5279191,2017/2/7,A
105.0177889,2017/2/8,A
105.5798437,2017/2/9,A
105.3091788,2017/2/10,A
106.4677527,2017/2/13,A
105.9799123,2017/2/14,A
104.6031657,2017/2/15,A
105.9442487,2017/2/16,A
106.9149414,2017/2/17,A
107.4330725,2017/2/21,A
106.7020638,2017/2/22,A
107.4022831,2017/2/23,A
107.5383979,2017/2/24,A
106.7646453,2017/2/27,A
106.9392537,2017/2/28,A
107.5418906,2017/3/1,A
107.5010267,2017/3/2,A
107.1190406,2017/3/3,A
107.9084902,2017/3/6,A
107.5595583,2017/3/7,A
107.0098434,2017/3/8,A
107.2895414,2017/3/9,A
107.0731827,2017/3/10,A
108.5476766,2017/3/13,A
109.024077,2017/3/14,A
110.4243892,2017/3/15,A
109.8271223,2017/3/16,A
109.4177813,2017/3/17,A
109.2626862,2017/3/20,A
109.1586592,2017/3/21,A
109.592014,2017/3/22,A
109.1792052,2017/3/23,A
109.8334738,2017/3/24,A
108.9921261,2017/3/27,A
108.8766723,2017/3/28,A
109.1156787,2017/3/29,A
110.149707,2017/3/30,A
110.1933844,2017/3/31,A
110.143274,2017/4/3,A
109.684255,2017/4/4,A
109.7921115,2017/4/5,A
108.8970187,2017/4/6,A
109.0863218,2017/4/7,A
108.1760718,2017/4/10,A
106.9779091,2017/4/11,A
106.6490519,2017/4/12,A
106.113648,2017/4/13,A
106.5538333,2017/4/17,A
106.9106878,2017/4/18,A
105.7114939,2017/4/19,A
106.2974271,2017/4/20,A
105.038998,2017/4/21,A
105.9670343,2017/4/24,A
107.3671201,2017/4/25,A
108.6208195,2017/4/26,A
108.9632436,2017/4/27,A
107.5728832,2017/4/28,A
108.0312702,2017/5/1,A
108.3542766,2017/5/2,A
109.1819416,2017/5/3,A
109.7102908,2017/5/4,A
109.6898141,2017/5/5,A
110.989905,2017/5/8,A
111.3617755,2017/5/9,A
111.0122081,2017/5/10,A
111.0119092,2017/5/11,A
110.0113063,2017/5/12,A
110.1716237,2017/5/15,A
110.1780319,2017/5/16,A
110.1957068,2017/5/17,A
110.2906344,2017/5/18,A
111.2447961,2017/5/19,A
111.2416128,2017/5/22,A
110.0101358,2017/5/23,A
110.7688891,2017/5/24,A
111.6966163,2017/5/25,A
111.746283,2017/5/26,A
113.2535344,2017/5/30,A
113.6491819,2017/5/31,A
115.6286841,2017/6/1,A
116.0172579,2017/6/2,A
116.9529311,2017/6/5,A
116.6781696,2017/6/6,A
115.0757793,2017/6/7,A
116.9717351,2017/6/8,A
117.1067035,2017/6/9,A
117.8221488,2017/6/12,A
117.7242159,2017/6/13,A
118.0859237,2017/6/14,A
118.9324083,2017/6/15,A
120.3877979,2017/6/16,A
120.352813,2017/6/19,A
120.4900084,2017/6/20,A
120.4750204,2017/6/21,A
120.2591314,2017/6/22,A
119.840808,2017/6/23,A
120.0830616,2017/6/26,A
120.283049,2017/6/27,A
120.9169666,2017/6/28,A
120.3165751,2017/6/29,A
120.4129199,2017/6/30,A
82,2016/7/1,B
82.39027881,2016/7/5,B
82.56528034,2016/7/6,B
83.2898259,2016/7/7,B
83.05130145,2016/7/8,B
83.03690171,2016/7/11,B
82.80883464,2016/7/12,B
81.96403498,2016/7/13,B
81.63938891,2016/7/14,B
81.33741771,2016/7/15,B
81.48823321,2016/7/18,B
82.10314712,2016/7/19,B
82.88467253,2016/7/20,B
82.63293089,2016/7/21,B
81.96170001,2016/7/22,B
81.32489533,2016/7/25,B
80.70318944,2016/7/26,B
80.73941114,2016/7/27,B
81.8318055,2016/7/28,B
80.95658816,2016/7/29,B
81.46514392,2016/8/1,B
81.13109903,2016/8/2,B
80.26017086,2016/8/3,B
80.3597015,2016/8/4,B
81.48344912,2016/8/5,B
82.06592814,2016/8/8,B
82.56118876,2016/8/9,B
82.26380284,2016/8/10,B
82.30163748,2016/8/11,B
83.93789798,2016/8/12,B
83.04507167,2016/8/15,B
83.80853376,2016/8/16,B
83.07677279,2016/8/17,B
83.68992658,2016/8/18,B
83.11858277,2016/8/19,B
83.8817754,2016/8/22,B
84.38855925,2016/8/23,B
84.45170535,2016/8/24,B
85.32826368,2016/8/25,B
85.25572455,2016/8/26,B
85.45369583,2016/8/29,B
82.89276617,2016/8/30,B
82.39310348,2016/8/31,B
82.0916016,2016/9/1,B
83.48634495,2016/9/2,B
83.3907835,2016/9/6,B
84.06191213,2016/9/7,B
85.02622286,2016/9/8,B
85.79473262,2016/9/9,B
85.95485777,2016/9/12,B
86.03017534,2016/9/13,B
86.18833956,2016/9/14,B
85.52461691,2016/9/15,B
85.32941726,2016/9/16,B
84.47547618,2016/9/19,B
84.70293734,2016/9/20,B
86.02555064,2016/9/21,B
86.42752101,2016/9/22,B
85.94386093,2016/9/23,B
85.40241853,2016/9/26,B
86.22175547,2016/9/27,B
85.21201731,2016/9/28,B
86.31887185,2016/9/29,B
85.59827573,2016/9/30,B
86.29845103,2016/10/3,B
85.08233689,2016/10/4,B
84.40225405,2016/10/5,B
83.89818944,2016/10/6,B
83.97041904,2016/10/7,B
85.32622922,2016/10/10,B
85.12565083,2016/10/11,B
85.12281542,2016/10/12,B
86.62591685,2016/10/13,B
85.80228124,2016/10/14,B
85.04070505,2016/10/17,B
85.36766756,2016/10/18,B
87.62045543,2016/10/19,B
89.02251393,2016/10/20,B
88.32782026,2016/10/21,B
89.22758485,2016/10/24,B
88.43672926,2016/10/25,B
89.45480054,2016/10/26,B
87.68355592,2016/10/27,B
88.64308822,2016/10/28,B
89.61785547,2016/10/31,B
90.55335572,2016/11/1,B
90.99335609,2016/11/2,B
92.22557006,2016/11/3,B
91.87016449,2016/11/4,B
91.16324495,2016/11/7,B
91.97947684,2016/11/8,B
92.93883983,2016/11/9,B
93.83216204,2016/11/10,B
93.47450787,2016/11/11,B
93.52749506,2016/11/14,B
92.25139301,2016/11/15,B
92.6579296,2016/11/16,B
90.84608645,2016/11/17,B
92.269681,2016/11/18,B
91.70734981,2016/11/21,B
93.91656123,2016/11/22,B
92.13048805,2016/11/23,B
94.50438655,2016/11/25,B
94.74731493,2016/11/28,B
93.60471986,2016/11/29,B
96.27322617,2016/11/30,B
96.49529802,2016/12/1,B
97.02338262,2016/12/2,B
96.50506703,2016/12/5,B
98.89323361,2016/12/6,B
97.89711389,2016/12/7,B
97.99051791,2016/12/8,B
97.32260001,2016/12/9,B
97.23362351,2016/12/12,B
98.16060228,2016/12/13,B
98.09988356,2016/12/14,B
99.43077149,2016/12/15,B
99.85154882,2016/12/16,B
99.77168199,2016/12/19,B
98.57347328,2016/12/20,B
98.87673383,2016/12/21,B
96.8646025,2016/12/22,B
97.55459169,2016/12/23,B
96.75444213,2016/12/27,B
96.53636248,2016/12/28,B
96.66687806,2016/12/29,B
97.09818655,2016/12/30,B
97.42467946,2017/1/3,B
96.25321335,2017/1/4,B
98.07707213,2017/1/5,B
97.47637619,2017/1/6,B
97.1726133,2017/1/9,B
98.1828759,2017/1/10,B
96.60731465,2017/1/11,B
96.18490557,2017/1/12,B
98.1292916,2017/1/13,B
99.04024505,2017/1/17,B
100.4071141,2017/1/18,B
97.61426345,2017/1/19,B
96.91469087,2017/1/20,B
96.0330816,2017/1/23,B
94.6775809,2017/1/24,B
93.14393329,2017/1/25,B
93.35420475,2017/1/26,B
94.29333545,2017/1/27,B
95.22833212,2017/1/30,B
94.92344678,2017/1/31,B
95.5924592,2017/2/1,B
95.62790241,2017/2/2,B
94.00188894,2017/2/3,B
92.47296426,2017/2/6,B
91.51783771,2017/2/7,B
91.40255609,2017/2/8,B
93.25854765,2017/2/9,B
93.18331166,2017/2/10,B
92.13037754,2017/2/13,B
91.84356701,2017/2/14,B
92.79502254,2017/2/15,B
92.67850692,2017/2/16,B
91.87357321,2017/2/17,B
91.44690931,2017/2/21,B
92.26204095,2017/2/22,B
90.81548031,2017/2/23,B
89.80658306,2017/2/24,B
90.17597659,2017/2/27,B
90.10693334,2017/2/28,B
89.44123557,2017/3/1,B
90.92017728,2017/3/2,B
91.24226722,2017/3/3,B
91.10636067,2017/3/6,B
90.90706267,2017/3/7,B
89.36541588,2017/3/8,B
89.16817854,2017/3/9,B
89.28109777,2017/3/10,B
88.18385664,2017/3/13,B
89.63284881,2017/3/14,B
88.95617195,2017/3/15,B
89.96502204,2017/3/16,B
88.59562207,2017/3/17,B
88.82540279,2017/3/20,B
89.2467833,2017/3/21,B
88.78047795,2017/3/22,B
88.94872721,2017/3/23,B
89.41478855,2017/3/24,B
88.9224815,2017/3/27,B
87.98878849,2017/3/28,B
87.11638341,2017/3/29,B
86.11985547,2017/3/30,B
86.24212723,2017/3/31,B
86.43147343,2017/4/3,B
89.0726945,2017/4/4,B
88.1725492,2017/4/5,B
88.46359793,2017/4/6,B
88.30925698,2017/4/7,B
88.65761523,2017/4/10,B
90.50811998,2017/4/11,B
92.49795097,2017/4/12,B
90.68911516,2017/4/13,B
89.71974498,2017/4/17,B
89.12558905,2017/4/18,B
90.86762495,2017/4/19,B
91.09032199,2017/4/20,B
90.82320328,2017/4/21,B
91.0722931,2017/4/24,B
92.69459816,2017/4/25,B
91.35337139,2017/4/26,B
92.18726463,2017/4/27,B
91.21147804,2017/4/28,B
91.79642103,2017/5/1,B
92.73325665,2017/5/2,B
94.02812162,2017/5/3,B
94.96062057,2017/5/4,B
95.03945744,2017/5/5,B
94.44790715,2017/5/8,B
92.04511385,2017/5/9,B
90.68985149,2017/5/10,B
90.01302131,2017/5/11,B
90.1075697,2017/5/12,B
88.54779614,2017/5/15,B
88.35010517,2017/5/16,B
90.74087293,2017/5/17,B
91.49142537,2017/5/18,B
92.66721889,2017/5/19,B
94.0789772,2017/5/22,B
93.82942096,2017/5/23,B
91.06857281,2017/5/24,B
92.62917865,2017/5/25,B
91.92982983,2017/5/26,B
92.22086002,2017/5/30,B
93.1630429,2017/5/31,B
94.85710014,2017/6/1,B
92.99913773,2017/6/2,B
90.53482833,2017/6/5,B
90.93567182,2017/6/6,B
90.99269787,2017/6/7,B
91.93666222,2017/6/8,B
91.37121708,2017/6/9,B
91.25853315,2017/6/12,B
91.06518273,2017/6/13,B
89.73945146,2017/6/14,B
90.0582714,2017/6/15,B
89.60275975,2017/6/16,B
89.26635773,2017/6/19,B
87.92067134,2017/6/20,B
86.47122432,2017/6/21,B
86.96530036,2017/6/22,B
85.9809635,2017/6/23,B
85.29307816,2017/6/26,B
86.52142468,2017/6/27,B
85.59697362,2017/6/28,B
86.38499946,2017/6/29,B
87.47975707,2017/6/30,B
