price,date
560.2053335,2013/11/22
559.230316,2013/11/25
563.6304135,2013/11/26
565.854396,2013/11/27
570.0609953,2013/11/29
565.6128173,2013/12/2
566.0796567,2013/12/3
567.7583917,2013/12/4
565.3009887,2013/12/5
563.7043447,2013/12/6
560.7528552,2013/12/9
564.6034235,2013/12/10
565.16777,2013/12/11
564.1057291,2013/12/12
562.657194,2013/12/13
564.3082541,2013/12/16
563.6888678,2013/12/17
558.9123676,2013/12/18
560.3490538,2013/12/19
556.2763675,2013/12/20
556.1993954,2013/12/23
555.1984751,2013/12/24
555.8246034,2013/12/26
553.7134726,2013/12/27
552.905109,2013/12/30
559.6364066,2013/12/31
556.9313423,2014/1/2
560.7555343,2014/1/3
565.5167626,2014/1/6
562.4397841,2014/1/7
569.880789,2014/1/8
566.6803715,2014/1/9
573.9939781,2014/1/10
572.9951712,2014/1/13
574.1343461,2014/1/14
573.7583697,2014/1/15
570.6818103,2014/1/16
570.0178284,2014/1/17
575.1697083,2014/1/21
571.3603546,2014/1/22
571.1097297,2014/1/23
573.966413,2014/1/24
574.97863,2014/1/27
583.0409198,2014/1/28
585.6438473,2014/1/29
584.0641526,2014/1/30
584.1605042,2014/1/31
583.6440537,2014/2/3
587.5257088,2014/2/4
586.4111811,2014/2/5
584.0771252,2014/2/6
584.5805838,2014/2/7
587.8259941,2014/2/10
587.7733778,2014/2/11
586.8263006,2014/2/12
590.6707108,2014/2/13
590.6796656,2014/2/14
593.1068157,2014/2/18
597.4596568,2014/2/19
601.7272986,2014/2/20
606.8368164,2014/2/21
608.9708354,2014/2/24
601.6386593,2014/2/25
602.8417146,2014/2/26
603.1958373,2014/2/27
612.4230359,2014/2/28
615.3071477,2014/3/3
617.1355261,2014/3/4
614.6138683,2014/3/5
616.3683513,2014/3/6
613.1416565,2014/3/7
612.3946877,2014/3/10
616.747931,2014/3/11
616.7239447,2014/3/12
611.070018,2014/3/13
617.3720464,2014/3/14
614.6281165,2014/3/17
618.597157,2014/3/18
618.3503831,2014/3/19
620.3156004,2014/3/20
626.4825787,2014/3/21
622.1120252,2014/3/24
618.1858734,2014/3/25
618.2842575,2014/3/26
623.3971048,2014/3/27
628.1769544,2014/3/28
628.6563814,2014/3/31
632.0604419,2014/4/1
635.4899533,2014/4/2
637.3059176,2014/4/3
639.4976628,2014/4/4
643.6704981,2014/4/7
646.060316,2014/4/8
645.0961305,2014/4/9
638.6452341,2014/4/10
645.6455577,2014/4/11
648.3040743,2014/4/14
647.4549355,2014/4/15
643.5142145,2014/4/16
640.6948261,2014/4/17
637.997652,2014/4/21
632.0393797,2014/4/22
628.4253773,2014/4/23
628.2188848,2014/4/24
628.5126301,2014/4/25
625.1343717,2014/4/28
627.8542444,2014/4/29
621.3262325,2014/4/30
623.2908653,2014/5/1
623.0814539,2014/5/2
623.5124012,2014/5/5
633.497743,2014/5/6
633.3243765,2014/5/7
637.8653431,2014/5/8
640.9331315,2014/5/9
638.9346416,2014/5/12
631.9148338,2014/5/13
636.6447989,2014/5/14
636.7733699,2014/5/15
638.5639745,2014/5/16
637.8143907,2014/5/19
637.4189766,2014/5/20
635.5925501,2014/5/21
639.3316138,2014/5/22
639.0640716,2014/5/23
636.7263595,2014/5/27
635.5421884,2014/5/28
632.1185483,2014/5/29
630.1607261,2014/5/30
632.1208175,2014/6/2
636.2953789,2014/6/3
638.2364308,2014/6/4
636.4603156,2014/6/5
633.0361507,2014/6/6
627.5311258,2014/6/9
630.9769875,2014/6/10
633.930006,2014/6/11
633.3907594,2014/6/12
630.7315323,2014/6/13
631.2666654,2014/6/16
636.1984596,2014/6/17
636.6597099,2014/6/18
631.8897194,2014/6/19
628.2537924,2014/6/20
633.5605251,2014/6/23
637.0006928,2014/6/24
637.0802418,2014/6/25
635.8740806,2014/6/26
640.0614027,2014/6/27
637.0596862,2014/6/30
635.6034002,2014/7/1
630.2629817,2014/7/2
623.2329973,2014/7/3
622.9036546,2014/7/7
627.3422028,2014/7/8
624.0883614,2014/7/9
618.6641364,2014/7/10
613.3634892,2014/7/11
610.9771088,2014/7/14
612.7569695,2014/7/15
610.2700847,2014/7/16
611.2590419,2014/7/17
612.804466,2014/7/18
614.0012631,2014/7/21
615.5765713,2014/7/22
611.0077919,2014/7/23
606.09817,2014/7/24
606.3819716,2014/7/25
601.9010406,2014/7/28
594.9963988,2014/7/29
591.3412986,2014/7/30
595.4068739,2014/7/31
596.2000571,2014/8/1
589.3438775,2014/8/4
589.0479489,2014/8/5
593.5480104,2014/8/6
592.6038577,2014/8/7
596.4326228,2014/8/8
593.0655905,2014/8/11
591.7497148,2014/8/12
595.0723384,2014/8/13
595.8246116,2014/8/14
596.6785433,2014/8/15
598.4465076,2014/8/18
592.323508,2014/8/19
593.275262,2014/8/20
600.054287,2014/8/21
596.4063325,2014/8/22
595.4503619,2014/8/25
591.4908029,2014/8/26
594.4651025,2014/8/27
596.8608833,2014/8/28
599.8330506,2014/8/29
592.494786,2014/9/2
595.2296095,2014/9/3
597.1042676,2014/9/4
592.8243065,2014/9/5
586.8429266,2014/9/8
589.9247834,2014/9/9
589.7744852,2014/9/10
587.3478536,2014/9/11
590.2257532,2014/9/12
592.6638888,2014/9/15
592.7030594,2014/9/16
591.8985384,2014/9/17
596.839285,2014/9/18
598.0961357,2014/9/19
599.9750847,2014/9/22
603.7212471,2014/9/23
601.0704482,2014/9/24
600.3301875,2014/9/25
605.2921787,2014/9/26
599.5378828,2014/9/29
615.2317588,2014/9/30
613.8054653,2014/10/1
619.3573075,2014/10/2
618.0719879,2014/10/3
618.2830666,2014/10/6
627.6291627,2014/10/7
631.1556761,2014/10/8
633.7467964,2014/10/9
630.8694913,2014/10/10
629.3881601,2014/10/13
640.7749028,2014/10/14
640.7377374,2014/10/15
642.817135,2014/10/16
645.8354006,2014/10/17
644.5571336,2014/10/20
641.4403933,2014/10/21
638.0019125,2014/10/22
640.5329835,2014/10/23
633.4373364,2014/10/24
630.9727631,2014/10/27
632.8377198,2014/10/28
630.0720261,2014/10/29
627.1467671,2014/10/30
629.5873361,2014/10/31
638.0810378,2014/11/3
643.9189634,2014/11/4
644.2155583,2014/11/5
640.6529915,2014/11/6
636.8361646,2014/11/7
636.0554596,2014/11/10
637.1564766,2014/11/11
637.8149994,2014/11/12
639.2437311,2014/11/13
644.1161448,2014/11/14
641.2919143,2014/11/17
640.6904831,2014/11/18
642.7357691,2014/11/19
641.8838773,2014/11/20
642.6081206,2014/11/21
642.4587522,2014/11/24
641.3600041,2014/11/25
648.9205204,2014/11/26
647.4472669,2014/11/28
647.5143372,2014/12/1
642.2426839,2014/12/2
640.2426875,2014/12/3
636.3937705,2014/12/4
638.7639337,2014/12/5
634.4498774,2014/12/8
627.4684597,2014/12/9
621.7949607,2014/12/10
623.7915307,2014/12/11
629.7147473,2014/12/12
620.8706358,2014/12/15
616.0637238,2014/12/16
618.279694,2014/12/17
615.5805918,2014/12/18
620.1347476,2014/12/19
621.9226872,2014/12/22
621.8462343,2014/12/23
622.0866643,2014/12/24
624.5571873,2014/12/26
625.0394763,2014/12/29
626.8604218,2014/12/30
619.1914629,2014/12/31
617.5429426,2015/1/2
610.3802798,2015/1/5
612.3469379,2015/1/6
610.4602799,2015/1/7
617.6612167,2015/1/8
618.5259525,2015/1/9
619.6071438,2015/1/12
626.4084963,2015/1/13
622.9514393,2015/1/14
627.9176979,2015/1/15
626.8169124,2015/1/16
626.7215964,2015/1/20
620.4932821,2015/1/21
623.6862783,2015/1/22
627.8407454,2015/1/23
625.0265787,2015/1/26
626.171519,2015/1/27
628.8711031,2015/1/28
629.7956003,2015/1/29
622.0645977,2015/1/30
620.834555,2015/2/2
616.6877203,2015/2/3
613.9635181,2015/2/4
608.2367509,2015/2/5
613.2927315,2015/2/6
616.0643093,2015/2/9
615.0065046,2015/2/10
616.1831721,2015/2/11
619.5630664,2015/2/12
615.9836909,2015/2/13
617.7090728,2015/2/17
616.4353456,2015/2/18
618.544432,2015/2/19
620.0394407,2015/2/20
617.278444,2015/2/23
618.874924,2015/2/24
614.0749982,2015/2/25
611.9838481,2015/2/26
610.1622634,2015/2/27
615.5089619,2015/3/2
625.3411177,2015/3/3
623.1123031,2015/3/4
624.1835718,2015/3/5
622.6776317,2015/3/6
630.1479059,2015/3/9
626.0681645,2015/3/10
627.4553079,2015/3/11
628.3477574,2015/3/12
622.2474164,2015/3/13
625.8975672,2015/3/16
619.8238734,2015/3/17
614.739564,2015/3/18
607.9117017,2015/3/19
606.6018894,2015/3/20
607.0672352,2015/3/23
606.7274022,2015/3/24
611.5172348,2015/3/25
614.6763637,2015/3/26
614.8765839,2015/3/27
611.3135818,2015/3/30
617.1013939,2015/3/31
618.668502,2015/4/1
617.6594678,2015/4/2
613.4642719,2015/4/6
615.6622521,2015/4/7
613.4285368,2015/4/8
620.3841623,2015/4/9
621.6929423,2015/4/10
617.6483199,2015/4/13
614.4025227,2015/4/14
606.9263249,2015/4/15
604.6591199,2015/4/16
600.6054443,2015/4/17
598.2189996,2015/4/20
591.6286769,2015/4/21
593.2276342,2015/4/22
596.0789956,2015/4/23
595.9246751,2015/4/24
597.5397008,2015/4/27
601.5309765,2015/4/28
599.3436625,2015/4/29
599.2624275,2015/4/30
598.7246117,2015/5/1
601.3997932,2015/5/4
598.3098507,2015/5/5
599.828972,2015/5/6
595.9448309,2015/5/7
591.1267666,2015/5/8
589.1087088,2015/5/11
590.2353158,2015/5/12
587.5155723,2015/5/13
584.7484473,2015/5/14
590.1969328,2015/5/15
595.9990113,2015/5/18
593.4132425,2015/5/19
597.5872515,2015/5/20
593.7093659,2015/5/21
590.247302,2015/5/22
590.6177478,2015/5/26
592.4042157,2015/5/27
593.586642,2015/5/28
593.2315447,2015/5/29
597.1992156,2015/6/1
603.292822,2015/6/2
603.62696,2015/6/3
606.4387613,2015/6/4
603.8577546,2015/6/5
603.8332207,2015/6/8
603.3811803,2015/6/9
598.8912699,2015/6/10
592.8228384,2015/6/11
588.2839065,2015/6/12
585.9336971,2015/6/15
588.3947024,2015/6/16
584.2112872,2015/6/17
584.288182,2015/6/18
582.2151803,2015/6/19
576.8383865,2015/6/22
575.9059707,2015/6/23
574.2114481,2015/6/24
579.5480411,2015/6/25
576.6500732,2015/6/26
580.5642215,2015/6/29
582.3909253,2015/6/30
578.2331258,2015/7/1
588.0464807,2015/7/2
587.9885777,2015/7/6
586.134657,2015/7/7
588.4276683,2015/7/8
591.4132029,2015/7/9
600.3261186,2015/7/10
604.3827722,2015/7/13
613.9520953,2015/7/14
609.9358138,2015/7/15
610.7790859,2015/7/16
619.0271049,2015/7/17
613.9981995,2015/7/20
621.4834122,2015/7/21
621.8347307,2015/7/22
626.6836857,2015/7/23
632.2682873,2015/7/24
630.9878364,2015/7/27
626.5470457,2015/7/28
616.2682767,2015/7/29
620.8068356,2015/7/30
613.6583503,2015/7/31
609.1787217,2015/8/3
615.4761781,2015/8/4
620.6614545,2015/8/5
623.1347617,2015/8/6
625.3238127,2015/8/7
625.0288858,2015/8/10
622.3749106,2015/8/11
617.7090194,2015/8/12
618.7017956,2015/8/13
618.7952135,2015/8/14
618.6023435,2015/8/17
618.4886609,2015/8/18
619.342555,2015/8/19
620.84102,2015/8/20
614.8137838,2015/8/21
617.2317717,2015/8/24
623.0103647,2015/8/25
624.9926854,2015/8/26
626.1747097,2015/8/27
625.0511905,2015/8/28
627.5585868,2015/8/31
634.6941621,2015/9/1
634.0070868,2015/9/2
631.9189299,2015/9/3
637.3004952,2015/9/4
636.1323941,2015/9/8
639.8064171,2015/9/9
643.0175364,2015/9/10
640.7102032,2015/9/11
642.3693319,2015/9/14
645.4791536,2015/9/15
647.6898448,2015/9/16
650.6841727,2015/9/17
648.2741126,2015/9/18
658.4353842,2015/9/21
654.3144479,2015/9/22
656.6771168,2015/9/23
661.4067986,2015/9/24
661.8238912,2015/9/25
659.3754846,2015/9/28
663.7500312,2015/9/29
665.538412,2015/9/30
664.3325796,2015/10/1
664.8733503,2015/10/2
668.811319,2015/10/5
669.6772987,2015/10/6
666.6739838,2015/10/7
663.4236577,2015/10/8
663.8935185,2015/10/9
673.0880947,2015/10/12
674.3927272,2015/10/13
679.2238446,2015/10/14
674.7708109,2015/10/15
680.9175185,2015/10/16
681.3574549,2015/10/19
679.1085128,2015/10/20
685.8079276,2015/10/21
681.2764965,2015/10/22
684.1761549,2015/10/23
688.4103541,2015/10/26
688.6649093,2015/10/27
690.3729503,2015/10/28
697.9306366,2015/10/29
700.7975109,2015/10/30
696.7394894,2015/11/2
700.5065287,2015/11/3
707.3623874,2015/11/4
710.6418899,2015/11/5
707.7928314,2015/11/6
713.338045,2015/11/9
709.7010763,2015/11/10
707.6028881,2015/11/11
709.5699655,2015/11/12
705.9793409,2015/11/13
698.2294813,2015/11/16
696.5631911,2015/11/17
695.6253387,2015/11/18
690.9945085,2015/11/19
693.7333889,2015/11/20
700.0047913,2015/11/23
697.6810716,2015/11/24
697.0743997,2015/11/25
700.6551675,2015/11/27
702.0767311,2015/11/30
701.0971505,2015/12/1
701.5248938,2015/12/2
697.3069516,2015/12/3
690.1040564,2015/12/4
685.9663649,2015/12/7
692.2067496,2015/12/8
688.3131949,2015/12/9
692.5258136,2015/12/10
694.5446253,2015/12/11
705.9025044,2015/12/14
712.3146252,2015/12/15
714.2807769,2015/12/16
717.7328415,2015/12/17
712.4947829,2015/12/18
707.8633901,2015/12/21
709.3089923,2015/12/22
709.3714457,2015/12/23
711.7417278,2015/12/24
721.445408,2015/12/28
715.2209694,2015/12/29
712.8565302,2015/12/30
708.1534524,2015/12/31
708.311054,2016/1/4
712.86636,2016/1/5
714.2067759,2016/1/6
715.8800575,2016/1/7
720.5557659,2016/1/8
715.6938882,2016/1/11
713.5637745,2016/1/12
710.601302,2016/1/13
706.2700866,2016/1/14
709.4361406,2016/1/15
703.7223576,2016/1/19
704.6530782,2016/1/20
702.5611073,2016/1/21
701.2612785,2016/1/22
702.5363426,2016/1/25
703.3301704,2016/1/26
713.3545676,2016/1/27
721.6584596,2016/1/28
726.7111326,2016/1/29
726.7629109,2016/2/1
724.2528188,2016/2/2
725.9474737,2016/2/3
725.8587616,2016/2/4
727.3889004,2016/2/5
731.4829726,2016/2/8
736.4250363,2016/2/9
736.2021099,2016/2/10
734.0293703,2016/2/11
734.0179598,2016/2/12
733.00957,2016/2/16
732.1860255,2016/2/17
735.301866,2016/2/18
733.356641,2016/2/19
732.4628843,2016/2/22
726.7242862,2016/2/23
726.2957403,2016/2/24
725.5504731,2016/2/25
722.3239861,2016/2/26
723.3552887,2016/2/29
721.8466435,2016/3/1
717.5290764,2016/3/2
718.9168505,2016/3/3
717.5175507,2016/3/4
720.1453711,2016/3/7
720.5572862,2016/3/8
715.0362144,2016/3/9
707.6807408,2016/3/10
710.7899108,2016/3/11
707.6198572,2016/3/14
709.6816339,2016/3/15
711.1482581,2016/3/16
708.2542909,2016/3/17
705.6037647,2016/3/18
702.8184991,2016/3/21
704.2486223,2016/3/22
707.9730386,2016/3/23
711.7916153,2016/3/24
714.6685261,2016/3/28
710.4384235,2016/3/29
704.084824,2016/3/30
705.0882945,2016/3/31
706.7738601,2016/4/1
706.1417941,2016/4/4
713.1535807,2016/4/5
714.0193672,2016/4/6
717.2448728,2016/4/7
713.4590737,2016/4/8
706.6106149,2016/4/11
702.7644787,2016/4/12
704.4674012,2016/4/13
709.1609173,2016/4/14
713.2112224,2016/4/15
716.0097489,2016/4/18
724.9057468,2016/4/19
725.4918303,2016/4/20
729.4403033,2016/4/21
723.9933882,2016/4/22
732.8886947,2016/4/25
733.2236968,2016/4/26
735.9732763,2016/4/27
728.8458364,2016/4/28
730.8517394,2016/4/29
729.6197232,2016/5/2
736.662382,2016/5/3
735.9658511,2016/5/4
735.9762599,2016/5/5
737.9869647,2016/5/6
739.9928089,2016/5/9
746.4773656,2016/5/10
748.1571841,2016/5/11
748.2228667,2016/5/12
752.8464274,2016/5/13
742.2351223,2016/5/16
744.1376667,2016/5/17
742.6102824,2016/5/18
742.8593596,2016/5/19
751.0654208,2016/5/20
753.2568159,2016/5/23
749.600084,2016/5/24
752.4587357,2016/5/25
749.7395742,2016/5/26
744.8245196,2016/5/27
745.5221143,2016/5/31
747.8482465,2016/6/1
744.9853714,2016/6/2
740.5787744,2016/6/3
740.0545628,2016/6/6
742.2534681,2016/6/7
739.5529528,2016/6/8
739.6586932,2016/6/9
740.0330608,2016/6/10
743.3890915,2016/6/13
749.5167558,2016/6/14
750.798479,2016/6/15
756.5410587,2016/6/16
756.474502,2016/6/17
756.6076154,2016/6/20
755.3227344,2016/6/21
749.6774387,2016/6/22
746.4862194,2016/6/23
748.130285,2016/6/24
746.8248375,2016/6/27
748.0370656,2016/6/28
744.3571994,2016/6/29
742.8532644,2016/6/30
745.3612444,2016/7/1
740.7300964,2016/7/5
741.604857,2016/7/6
754.216367,2016/7/7
755.4652743,2016/7/8
758.6497102,2016/7/11
764.3758785,2016/7/12
756.2192544,2016/7/13
760.8129765,2016/7/14
765.7210379,2016/7/15
765.8611545,2016/7/18
769.2659856,2016/7/19
759.2708371,2016/7/20
755.7668593,2016/7/21
754.2905408,2016/7/22
751.8303049,2016/7/25
754.0482728,2016/7/26
753.716188,2016/7/27
753.4364709,2016/7/28
756.5960411,2016/7/29
763.0824371,2016/8/1
767.0951137,2016/8/2
764.4117919,2016/8/3
765.2586527,2016/8/4
758.9569189,2016/8/5
758.8006368,2016/8/8
755.7907312,2016/8/9
754.8450546,2016/8/10
757.6514863,2016/8/11
756.5126518,2016/8/12
763.3660408,2016/8/15
757.4030271,2016/8/16
762.2048527,2016/8/17
776.4213062,2016/8/18
771.5140647,2016/8/19
776.4969849,2016/8/22
790.1302053,2016/8/23
800.0785796,2016/8/24
807.2615683,2016/8/25
806.2375248,2016/8/26
805.2632461,2016/8/29
807.9901066,2016/8/30
808.196796,2016/8/31
810.0939116,2016/9/1
809.1263414,2016/9/2
815.5154976,2016/9/6
813.0459827,2016/9/7
816.3831076,2016/9/8
808.5641183,2016/9/9
814.4028453,2016/9/12
816.4054102,2016/9/13
816.1537988,2016/9/14
819.1870364,2016/9/15
822.7230525,2016/9/16
823.8602863,2016/9/19
817.5680056,2016/9/20
808.3139636,2016/9/21
806.6208149,2016/9/22
810.4307103,2016/9/23
813.6062546,2016/9/26
816.1208464,2016/9/27
823.3852304,2016/9/28
819.619857,2016/9/29
820.5126251,2016/9/30
825.4871542,2016/10/3
821.3407214,2016/10/4
814.8567146,2016/10/5
822.0958143,2016/10/6
817.2619816,2016/10/7
821.772181,2016/10/10
827.8432885,2016/10/11
830.2635598,2016/10/12
839.4418468,2016/10/13
844.8087166,2016/10/14
839.5999723,2016/10/17
836.8437877,2016/10/18
836.6687226,2016/10/19
835.9160411,2016/10/20
839.8711862,2016/10/21
843.2567464,2016/10/24
848.998976,2016/10/25
856.7736188,2016/10/26
849.830851,2016/10/27
848.4708623,2016/10/28
850.4615128,2016/10/31
851.9628382,2016/11/1
851.7823826,2016/11/2
843.1368961,2016/11/3
844.776791,2016/11/4
831.8457126,2016/11/7
832.0613472,2016/11/8
828.8063497,2016/11/9
836.971633,2016/11/10
841.8826978,2016/11/11
860.3722221,2016/11/14
862.7612796,2016/11/15
867.6688265,2016/11/16
869.1702943,2016/11/17
871.9798259,2016/11/18
873.7152513,2016/11/21
883.1403142,2016/11/22
884.1502452,2016/11/23
869.5644474,2016/11/25
877.1566019,2016/11/28
871.5934112,2016/11/29
869.7566705,2016/11/30
867.6426883,2016/12/1
869.806836,2016/12/2
862.6709275,2016/12/5
857.1930497,2016/12/6
853.6492452,2016/12/7
860.2681214,2016/12/8
863.8617428,2016/12/9
865.7420197,2016/12/12
865.6007424,2016/12/13
874.0892882,2016/12/14
877.7858289,2016/12/15
878.3697652,2016/12/16
877.8520278,2016/12/19
878.9037651,2016/12/20
874.1487132,2016/12/21
879.9637373,2016/12/22
883.3109597,2016/12/23
882.1928677,2016/12/27
880.6628228,2016/12/28
876.5555667,2016/12/29
877.3012638,2016/12/30
879.959147,2017/1/3
882.2950502,2017/1/4
873.9255376,2017/1/5
871.480329,2017/1/6
874.095969,2017/1/9
876.8148923,2017/1/10
879.311529,2017/1/11
872.7648973,2017/1/12
869.3987729,2017/1/13
861.9157124,2017/1/17
855.9334548,2017/1/18
850.5618735,2017/1/19
849.6481611,2017/1/20
865.9257672,2017/1/23
870.4387112,2017/1/24
868.8387443,2017/1/25
871.019904,2017/1/26
868.9597013,2017/1/27
865.2185775,2017/1/30
873.9880938,2017/1/31
877.2133307,2017/2/1
881.1149316,2017/2/2
875.6887498,2017/2/3
883.7391145,2017/2/6
873.7368643,2017/2/7
881.3496185,2017/2/8
878.8028672,2017/2/9
879.4404258,2017/2/10
879.4480513,2017/2/13
889.4018088,2017/2/14
883.8818673,2017/2/15
886.0324542,2017/2/16
891.2304575,2017/2/17
894.1906671,2017/2/21
894.4534593,2017/2/22
887.497356,2017/2/23
885.4624756,2017/2/24
894.6445441,2017/2/27
886.2038367,2017/2/28
889.1749344,2017/3/1
888.6029586,2017/3/2
880.2419023,2017/3/3
872.8983909,2017/3/6
871.6291163,2017/3/7
866.5186383,2017/3/8
879.3137705,2017/3/9
875.9552723,2017/3/10
879.5790613,2017/3/13
871.8486657,2017/3/14
870.8860935,2017/3/15
874.5539499,2017/3/16
876.8973262,2017/3/17
883.8523065,2017/3/20
892.8792204,2017/3/21
893.5544142,2017/3/22
896.5132726,2017/3/23
898.1330234,2017/3/24
890.9963696,2017/3/27
884.6854169,2017/3/28
878.4541012,2017/3/29
875.0327199,2017/3/30
868.5853817,2017/3/31
861.711911,2017/4/3
848.504566,2017/4/4
845.809228,2017/4/5
845.3748127,2017/4/6
838.978861,2017/4/7
835.8418916,2017/4/10
838.3031404,2017/4/11
833.5922325,2017/4/12
838.7055911,2017/4/13
836.7990624,2017/4/17
842.9857981,2017/4/18
847.5122866,2017/4/19
841.3587226,2017/4/20
837.8811131,2017/4/21
830.3634713,2017/4/24
830.9401804,2017/4/25
834.2683101,2017/4/26
840.5238382,2017/4/27
834.1928572,2017/4/28
835.3954476,2017/5/1
849.2253183,2017/5/2
855.1505611,2017/5/3
860.8925759,2017/5/4
858.6759876,2017/5/5
854.155167,2017/5/8
845.8304458,2017/5/9
847.7225939,2017/5/10
849.1529421,2017/5/11
850.5698531,2017/5/12
846.2457092,2017/5/15
854.6071405,2017/5/16
855.9870956,2017/5/17
852.8151593,2017/5/18
852.0329267,2017/5/19
849.1358052,2017/5/22
847.3882126,2017/5/23
850.3279901,2017/5/24
847.7868372,2017/5/25
848.8520475,2017/5/26
842.2496805,2017/5/30
841.1392076,2017/5/31
840.5805179,2017/6/1
830.0485805,2017/6/2
825.2575835,2017/6/5
835.8227884,2017/6/6
831.0964808,2017/6/7
826.9546569,2017/6/8
826.4840749,2017/6/9
830.4888661,2017/6/12
825.4877567,2017/6/13
820.0718787,2017/6/14
824.4690249,2017/6/15
833.4693658,2017/6/16
828.3316019,2017/6/19
820.2802942,2017/6/20
818.7249486,2017/6/21
820.9457585,2017/6/22
816.7607721,2017/6/23
811.1588303,2017/6/26
814.600795,2017/6/27
810.3443632,2017/6/28
806.478233,2017/6/29
809.7280709,2017/6/30
